country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Kingdom,,,,,,,,,2450,2730,3170,3870,4320,4830,4970,5180,5880,7500,9450,10550,10550,9760,9170,9070,10140,12570,15990,17200,18380,19190,21260,21140,21670,20960,22640,25140,26620,27930,29020,28780,29080,32120,37660,42660,44900,47390,48290,43930,41280,40730,41310,42250,43940,43860,42420,40580,41340,
Ghana,190,200,210,230,250,240,220,220,250,270,260,280,320,300,290,300,350,380,420,410,360,320,340,350,390,420,440,400,400,410,430,420,370,370,380,390,390,390,340,300,270,320,380,460,590,790,1140,1190,1230,1380,1540,1870,1920,1960,1830,1900,2130,
"Gambia, The",,,,,,,110,110,110,110,120,150,180,230,230,240,260,310,380,390,340,300,290,300,300,320,300,300,310,400,520,710,690,690,700,690,660,640,620,560,440,390,400,380,390,430,500,540,550,480,480,540,560,640,620,650,700,
Greece,630,710,790,890,980,1070,1180,1330,1500,1700,2000,2490,2850,3480,3750,3940,4600,5650,6500,6370,5910,5280,5140,5010,5360,6130,7590,8310,8970,9850,11200,11140,11610,12410,13430,14100,13810,13380,13330,13070,13150,15700,19580,22760,24550,26350,28660,29330,27660,24930,23500,22540,22180,20320,18890,18340,19600,
Guatemala,250,270,280,280,290,290,310,320,340,350,380,430,510,580,650,750,870,1020,1140,1180,1110,1060,1080,1110,1030,980,950,950,910,950,1010,1120,1210,1340,1430,1520,1600,1640,1670,1600,1610,1690,1860,2010,2160,2370,2590,2620,2710,2860,3100,3320,3460,3620,3800,4060,4410,
Guyana,280,250,280,310,320,340,330,350,360,380,390,430,540,680,660,610,620,670,760,740,590,510,470,500,520,460,470,360,400,330,390,460,570,670,830,890,880,860,890,880,890,940,1030,1090,1420,1860,2450,2720,2900,3220,3610,3880,4040,4070,4270,4470,4760,
High income,1542.402804,1634.270582,1756.979094,1904.179293,2074.134313,2204.548492,2415.418614,2623.124227,2775.582076,3035.463677,3486.600746,4265.031748,4986.187669,5577.679328,5930.80989,6354.235309,7242.968105,8670.519846,10000.04924,10415.99005,9917.753093,9521.453478,9879.605069,10329.74815,11625.42941,13913.15725,16918.29746,17834.12837,18651.62482,19394.55309,21072.22866,21553.75659,22630.06214,24101.57672,25253.79994,25401.41798,24458.24536,24747.4536,25765.63352,25740.673,25571.84513,27550.36303,31433.34917,34617.0157,36320.11455,37713.48509,39304.31771,38629.06115,39681.06285,41020.09429,42384.10603,43180.73274,43350.83879,42104.08476,41167.60499,41385.20157,44146.19253,
"Hong Kong SAR, China",,570,630,700,710,710,740,840,930,1060,1300,1750,2150,2450,2900,3340,3930,4700,5730,6360,6290,5890,6170,6090,7230,9080,10770,11550,12660,14320,16560,19560,21820,23570,24140,26080,25110,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36340,38570,40240,41180,42970,46420,50310,
Honduras,180,180,190,210,220,230,250,250,260,270,280,320,360,380,410,460,610,830,1090,1090,1020,1000,1080,1160,1260,1410,1410,1270,1110,940,930,950,880,900,870,910,910,930,1020,1040,1060,1120,1200,1280,1350,1480,1600,1620,1730,1860,1950,1990,1990,2040,2110,2200,2330,
IBRD only,,,,,189.8320047,189.6337788,194.6403021,211.5318355,228.187103,242.0667544,262.0832489,317.5560874,392.452881,460.5004313,480.5604313,501.5674954,541.2411484,624.6109476,718.0112238,773.0347419,761.0367785,709.93992,704.9412427,724.0913906,766.8050895,827.0284107,874.2183403,886.0279077,930.0771037,996.2211883,1046.511268,1087.722224,1136.232881,1226.95193,1343.504791,1430.757093,1386.62794,1361.28017,1413.808113,1423.555265,1444.010278,1571.755698,1827.274995,2134.237839,2482.714627,2950.857798,3487.292476,3751.754355,4192.138469,4669.140163,5294.260125,5727.695544,5912.246986,5755.742708,5648.288095,5751.604608,6190.077652,
IDA & IBRD total,,,,,175.6411967,175.8124935,180.6881985,196.3761153,212.6356718,225.330941,243.4816058,291.647189,361.3976329,424.2907791,445.2985346,464.5512722,500.498322,577.0124703,663.6792092,718.4898516,713.608635,671.7906074,656.5872947,667.8894524,700.8390788,753.1714467,793.2091226,796.0248984,828.6185048,877.8220925,916.4979596,942.8317412,975.8476441,1048.139071,1143.322303,1213.584533,1175.879115,1154.152016,1194.599596,1201.61223,1218.402852,1322.425529,1533.625544,1784.41021,2069.103879,2446.739096,2883.905361,3095.466598,3440.881302,3810.979925,4303.127243,4642.958123,4794.613501,4667.344845,4567.337928,4629.320708,4952.4791,
IDA blend,104.6758338,111.5414788,115.7321899,122.3839049,127.9090978,127.3476393,134.5794179,152.1977997,181.0525802,191.1781861,201.897633,209.6623911,269.1504076,307.079393,360.3906961,392.8560903,423.2050855,489.269733,574.6813252,691.6384212,800.7334345,857.8511451,720.1361603,654.8479379,592.9520346,587.89445,599.7151279,550.5133057,541.0551354,519.1633002,517.6220455,461.3315325,441.250843,450.6413664,486.7726333,505.2487001,492.4391577,493.3433077,497.6586956,514.6533099,546.8207954,594.9270463,699.8631894,809.4665455,971.4511569,1125.558109,1329.967165,1398.985731,1475.109654,1551.289563,1728.933523,1892.097963,2039.396201,2027.176743,1911.425158,1791.34708,1795.653312,
Indonesia,,,,,,,,70,80,80,90,110,160,220,270,300,360,400,470,530,560,530,520,500,520,510,510,530,560,610,660,740,850,990,1090,1100,660,570,580,720,790,900,1080,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3840,
India,90,100,110,110,110,110,100,110,120,120,120,140,170,190,180,190,210,220,270,290,290,280,280,290,310,350,390,390,380,350,340,320,340,370,400,410,410,440,440,450,460,520,610,710,790,910,1000,1120,1220,1360,1480,1520,1560,1600,1690,1830,2020,
Ireland,,,,,,,,,,,2070,2540,2990,3390,3280,3580,4120,5120,6380,6780,6390,5720,5610,5630,6370,8220,10420,11100,12560,13130,14440,14600,15480,16920,18880,20660,21440,22650,24080,24020,24830,29890,37690,44530,47910,50530,50920,46810,44870,41990,40620,43550,46450,50260,52860,53050,59770,
"Iran, Islamic Rep.",210,220,230,260,280,300,330,380,400,460,560,750,1090,1460,1990,2080,1980,2310,2100,2400,3190,3300,3110,3490,3690,3570,3030,2590,2550,,,,,1310,1580,1780,1800,1720,1760,1790,1880,2200,2520,2960,3480,4270,4950,5520,6200,6860,7140,7040,6550,5400,5520,5470,,
